泉州阳硕鞋材有限公司,,,,,,,,,,,,,,
2025年10月份请款明细,,,,,,,,,,,,,,
TO：,福建省莆田市亿宁鞋业有限公司,,,,,,,,,,,,,
ATTN：,林先生,,CC：财务,,,,币别:人民币,,,,,,,
日 期,送货单号,订单号,品名及规格,颜色,数量,单位,支数,单价  (RMB),小缸费,金额(元),备注,,,
2025-10-04 00:00:00,YN2510001,YH25044A-1.2BLACK,"丝光经编布58""",灰色12-4302TPG,50,码,,19.5,500,1475,,,,
2025-10-04 00:00:00,YN2510001,YH25044B-1.2GREY,"丝光经编布58""",粉色11-0603TPG,40,码,,19.5,500,1280,,,,
2025-10-08 00:00:00,YN2510002,YH25044A-1.2BLACK,"丝光经编布58""",黑色,20,码,,19.5,,390,,,,
2025-10-20 00:00:00,YN2510003,YH25044B-1.2GREY,"HSW32 P6纹 单层网布56""",灰色12-4302TPG,6,Y,,6.4,,38.4,,,,
,,,以下空白,,,,,,,,,,,
,,,合       计：,,116,,,,,3183.4,,,,
,,,人民币大写：,叁仟壹佰捌拾叁元肆角整,,,,,,,,,,
客户回签:,,,审  核：,,,,,,,制　表：戴春莲,,,,
"附言:请核对确认后传回我司! 若每月5号前不回签,则视同确认我司金额.多谢支持!",,,,,,,,,,,,,,
,,,,0,,,,,0,,,,,
